,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
111,Mahindra XUV500,2018,105759,2,DIESEL,KA-09,Manual,Lux_SUV,1196000
112,Maruti Alto 800,2015,30790,1,PETROL,MH-12,Manual,HatchBack,253000
113,Honda City,2010,68137,1,PETROL,TN-07,Manual,Sedan,737000
114,Hyundai i10,2012,35125,2,PETROL,TN-07,Manual,HatchBack,308000
115,Hyundai Elite i20,2018,67281,2,PETROL,GJ-01,Manual,HatchBack,690000
116,Hyundai NEW SANTRO,2018,80229,1,CNG,MH-14,Manual,HatchBack,436000
117,Hyundai NEW SANTRO,2018,22533,1,PETROL,TS-10,Manual,HatchBack,505000
118,Hyundai NEW SANTRO,2019,27153,2,PETROL,RJ-36,Manual,HatchBack,486000
119,Nissan MAGNITE,2021,66065,1,PETROL,DL-8C,Manual,SUV,750000
120,Honda City,2018,53612,2,PETROL,TN-02,Automatic,Sedan,591000
121,Hyundai Grand i10,2017,23376,1,PETROL,MH-05,Manual,HatchBack,535000
122,KIA SONET,2021,22542,1,PETROL,PB-91,Manual,SUV,1141000
123,Tata Safari,2021,25239,1,DIESEL,TN-14,Automatic,SUV,1810000
124,Ford FREESTYLE,2020,37077,1,PETROL,KA-04,Manual,SUV,633000
125,Maruti Alto 800,2017,54791,1,PETROL,TS-07,Manual,HatchBack,331000
126,Maruti Ertiga,2012,100274,1,DIESEL,BR-01,Manual,SUV,416000
127,Hyundai Elite i20,2016,74317,1,PETROL,HR-35,Manual,HatchBack,483000
128,Maruti Ciaz,2017,70660,1,PETROL,GJ-01,Automatic,Sedan,776000
129,Ford Ecosport,2019,57675,1,CNG,DL-8C,Manual,SUV,796000
130,Hyundai Grand i10,2019,32033,1,PETROL,DL-9C,Automatic,HatchBack,593000
131,Hyundai i10,2010,99873,1,PETROL,HR-26,Manual,HatchBack,162000
132,Maruti Wagon R 1.0,2018,10409,1,PETROL,MH-02,Automatic,HatchBack,486000
133,Honda Jazz,2016,31130,1,PETROL,PB-08,Manual,HatchBack,461000
134,KIA SELTOS,2020,96537,2,PETROL,GJ-18,Manual,SUV,906000
135,Renault Duster,2013,92379,1,DIESEL,RJ-14,Manual,SUV,362000
136,Maruti Swift Dzire,2014,26337,2,PETROL,UP-37,Manual,Sedan,621000
